timestamp,session_id,ear_left,ear_right,ear_mean,mar,perclos,eye_closed_duration,yawn_duration,pitch,yaw,roll,label
0.03333333333333333,demo-01,0.3,0.3,0.3,0.083333,0,0,0,85.334,1.6278,155.88,alert
0.1,demo-01,0.3,0.3,0.3,0.083333,0,0,0,85.334,1.6278,155.88,alert
0.16666666666666666,demo-01,0.3,0.3,0.3,0.083333,0,0,0,85.334,1.6278,155.88,alert
0.23333333333333334,demo-01,0.3,0.3,0.3,0.083333,0,0,0,85.334,1.6278,155.88,alert
0.3,demo-01,0.3,0.3,0.3,0.083333,0,0,0,85.334,1.6278,155.88,alert
0.36666666666666664,demo-01,0.3,0.3,0.3,0.083333,0,0,0,85.334,1.6278,155.88,alert
0.43333333333333335,demo-01,0.3,0.3,0.3,0.083333,0,0,0,85.334,1.6278,155.88,alert
0.5,demo-01,0.3,0.3,0.3,0.083333,0,0,0,85.334,1.6278,155.88,alert
0.5666666666666667,demo-01,0.3,0.3,0.3,0.083333,0,0,0,85.334,1.6278,155.88,alert
0.6333333333333333,demo-01,0.3,0.3,0.3,0.083333,0,0,0,85.334,1.6278,155.88,alert
0.7,demo-01,0.3,0.3,0.3,0.083333,0,0,0,85.334,1.6278,155.88,alert
0.7666666666666667,demo-01,0.3,0.3,0.3,0.083333,0,0,0,85.334,1.6278,155.88,alert
0.8333333333333334,demo-01,0.3,0.3,0.3,0.083333,0,0,0,85.334,1.6278,155.88,alert
0.9,demo-01,0.3,0.3,0.3,0.083333,0,0,0,85.334,1.6278,155.88,alert
0.9666666666666667,demo-01,0.3,0.3,0.3,0.083333,0,0,0,85.334,1.6278,155.88,alert
1.0333333333333334,demo-01,0.3,0.3,0.3,0.083333,0,0,0,85.334,1.6278,155.88,alert
1.1,demo-01,0.3,0.3,0.3,0.083333,0,0,0,85.334,1.6278,155.88,alert
1.1666666666666667,demo-01,0.3,0.3,0.3,0.083333,0,0,0,85.334,1.6278,155.88,alert
1.2333333333333334,demo-01,0.3,0.3,0.3,0.083333,0,0,0,85.334,1.6278,155.88,alert
1.3,demo-01,0.3,0.3,0.3,0.083333,0,0,0,85.334,1.6278,155.88,alert
1.3666666666666667,demo-01,0.3,0.3,0.3,0.083333,0,0,0,85.334,1.6278,155.88,alert
1.4333333333333333,demo-01,0.3,0.3,0.3,0.083333,0,0,0,85.334,1.6278,155.88,alert
